3*R,4*R,5*R,6.25*R,7*R,8*R,9*R,10*R,3*intro-error,4*intro-error,5*intro-error,6.25*intro-error,7*intro-error,8*intro-error,9*intro-error,10*intro-error,obj,wave,hjd,NO.,,,,,,,
14.323,14.269,14.249,14.234,14.218,14.193,14.173,14.14,0.017,0.021,0.025,0.031,0.035,0.039,0.044,0.048,2mass,B,2022/4/16 17:54:47,4,,,,,,,
13.663,13.602,13.578,13.572,13.581,13.568,13.568,13.568,0.01,0.011,0.013,0.016,0.018,0.021,0.024,0.027,2mass,B,2022/4/16 17:58:40,1,,,,,,,
14.982,14.892,14.87,14.845,14.814,14.798,14.765,14.726,0.028,0.034,0.041,0.051,0.056,0.064,0.071,0.078,2mass,B,2022/4/16 17:58:40,2,,,,,,,
15.319,15.27,15.241,15.208,15.217,15.253,15.292,15.3,0.04,0.05,0.061,0.075,0.086,0.103,0.123,0.14,2mass,B,2022/4/16 17:58:40,3,,,,,,,
14.346,14.273,14.264,14.272,14.262,14.265,14.275,14.283,0.017,0.02,0.024,0.03,0.034,0.039,0.046,0.052,2mass,B,2022/4/16 17:58:40,4,,,,,,,
13.648,13.598,13.578,13.577,13.578,13.583,13.588,13.595,0.01,0.012,0.014,0.017,0.019,0.022,0.026,0.029,2mass,B,2022/4/16 18:2:21,1,,,,,,,
14.972,14.91,14.907,14.908,14.906,14.911,14.892,14.849,0.029,0.035,0.044,0.055,0.063,0.073,0.083,0.09,2mass,B,2022/4/16 18:2:21,2,,,,,,,
15.267,15.191,15.184,15.148,15.129,15.101,15.068,14.986,0.037,0.046,0.057,0.069,0.077,0.088,0.098,0.103,2mass,B,2022/4/16 18:2:21,3,,,,,,,
14.332,14.286,14.274,14.258,14.242,14.227,14.219,14.199,0.016,0.02,0.024,0.03,0.033,0.038,0.043,0.048,2mass,B,2022/4/16 18:2:21,4,,,,,,,
13.638,13.588,13.57,13.566,13.561,13.576,13.578,13.567,0.01,0.011,0.014,0.017,0.019,0.022,0.025,0.028,2mass,B,2022/4/16 18:6:8,1,,,,,,,
14.954,14.918,14.899,14.955,14.99,15.013,15.019,14.999,0.027,0.035,0.042,0.056,0.065,0.078,0.09,0.1,2mass,B,2022/4/16 18:6:8,2,,,,,,,
15.254,15.192,15.171,15.114,15.078,15.021,15.048,15.11,0.038,0.047,0.057,0.069,0.076,0.084,0.098,0.119,2mass,B,2022/4/16 18:6:8,3,,,,,,,
14.306,14.234,14.206,14.187,14.174,14.162,14.165,14.156,0.016,0.019,0.022,0.028,0.031,0.035,0.04,0.045,2mass,B,2022/4/16 18:6:8,4,,,,,,,
13.64,13.591,13.571,13.565,13.563,13.548,13.536,13.531,0.01,0.012,0.014,0.017,0.019,0.021,0.024,0.027,2mass,B,2022/4/16 18:10:18,1,,,,,,,
14.951,14.894,14.859,14.861,14.879,14.902,14.901,14.872,0.027,0.034,0.041,0.052,0.059,0.071,0.081,0.089,2mass,B,2022/4/16 18:10:18,2,,,,,,,
15.236,15.196,15.172,15.134,15.169,15.133,15.104,15.094,0.036,0.045,0.055,0.068,0.079,0.089,0.1,0.112,2mass,B,2022/4/16 18:10:18,3,,,,,,,
14.32,14.269,14.255,14.243,14.228,14.232,14.202,14.187,0.017,0.02,0.025,0.031,0.034,0.04,0.044,0.049,2mass,B,2022/4/16 18:10:18,4,,,,,,,
13.626,13.572,13.551,13.545,13.545,13.541,13.544,13.55,0.01,0.011,0.013,0.016,0.018,0.021,0.024,0.027,2mass,B,2022/4/16 18:14:13,1,,,,,,,
14.96,14.906,14.874,14.868,14.847,14.791,14.776,14.753,0.028,0.035,0.042,0.053,0.059,0.065,0.073,0.081,2mass,B,2022/4/16 18:14:13,2,,,,,,,
15.241,15.168,15.114,15.045,15.033,15.015,14.996,14.98,0.036,0.045,0.053,0.063,0.071,0.081,0.091,0.102,2mass,B,2022/4/16 18:14:13,3,,,,,,,
14.323,14.275,14.24,14.235,14.226,14.211,14.214,14.212,0.017,0.02,0.024,0.03,0.034,0.038,0.044,0.05,2mass,B,2022/4/16 18:14:13,4,,,,,,,
13.618,13.573,13.542,13.532,13.531,13.516,13.507,13.503,0.009,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:18:29,1,,,,,,,
14.949,14.876,14.841,14.778,14.757,14.727,14.707,14.665,0.027,0.033,0.039,0.047,0.052,0.059,0.066,0.072,2mass,B,2022/4/16 18:18:29,2,,,,,,,
15.255,15.147,15.086,15.098,15.081,15.046,15.025,15.021,0.036,0.043,0.051,0.065,0.072,0.081,0.092,0.104,2mass,B,2022/4/16 18:18:29,3,,,,,,,
14.3,14.25,14.221,14.205,14.184,14.175,14.177,14.16,0.016,0.019,0.023,0.028,0.031,0.035,0.04,0.045,2mass,B,2022/4/16 18:18:29,4,,,,,,,
13.603,13.565,13.545,13.533,13.531,13.534,13.544,13.558,0.009,0.011,0.013,0.016,0.017,0.02,0.023,0.026,2mass,B,2022/4/16 18:21:56,1,,,,,,,
14.944,14.898,14.863,14.902,14.92,14.944,14.973,14.973,0.028,0.035,0.042,0.056,0.064,0.076,0.089,0.101,2mass,B,2022/4/16 18:21:56,2,,,,,,,
15.223,15.196,15.167,15.187,15.154,15.117,15.121,15.104,0.035,0.045,0.055,0.07,0.077,0.087,0.1,0.112,2mass,B,2022/4/16 18:21:56,3,,,,,,,
14.338,14.301,14.29,14.286,14.276,14.267,14.281,14.3,0.016,0.02,0.024,0.03,0.033,0.038,0.044,0.051,2mass,B,2022/4/16 18:21:56,4,,,,,,,
13.606,13.559,13.537,13.526,13.53,13.523,13.524,13.527,0.009,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:25:20,1,,,,,,,
14.92,14.935,14.912,14.911,14.878,14.824,14.804,14.802,0.026,0.035,0.042,0.053,0.058,0.065,0.073,0.083,2mass,B,2022/4/16 18:25:20,2,,,,,,,
15.219,15.194,15.161,15.097,15.116,15.107,15.031,14.979,0.035,0.045,0.055,0.065,0.075,0.086,0.093,0.1,2mass,B,2022/4/16 18:25:20,3,,,,,,,
14.322,14.269,14.223,14.169,14.16,14.176,14.177,14.161,0.016,0.02,0.023,0.027,0.031,0.036,0.041,0.046,2mass,B,2022/4/16 18:25:20,4,,,,,,,
13.626,13.584,13.57,13.545,13.534,13.534,13.528,13.523,0.009,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:28:42,1,,,,,,,
14.937,14.87,14.843,14.86,14.858,14.836,14.872,14.868,0.027,0.033,0.04,0.052,0.058,0.066,0.079,0.089,2mass,B,2022/4/16 18:28:42,2,,,,,,,
15.271,15.196,15.199,15.184,15.147,15.12,15.117,15.06,0.038,0.047,0.059,0.074,0.081,0.092,0.105,0.113,2mass,B,2022/4/16 18:28:42,3,,,,,,,
14.313,14.276,14.251,14.25,14.235,14.229,14.229,14.235,0.016,0.02,0.024,0.03,0.033,0.038,0.044,0.05,2mass,B,2022/4/16 18:28:42,4,,,,,,,
13.627,13.583,13.571,13.565,13.556,13.559,13.557,13.551,0.01,0.011,0.014,0.017,0.019,0.022,0.025,0.028,2mass,B,2022/4/16 18:32:8,1,,,,,,,
14.936,14.872,14.847,14.816,14.808,14.784,14.787,14.773,0.027,0.033,0.04,0.05,0.056,0.063,0.073,0.082,2mass,B,2022/4/16 18:32:8,2,,,,,,,
15.242,15.165,15.131,15.082,15.068,15.018,14.957,14.933,0.035,0.043,0.052,0.062,0.07,0.077,0.084,0.094,2mass,B,2022/4/16 18:32:8,3,,,,,,,
14.312,14.281,14.263,14.24,14.233,14.238,14.25,14.242,0.016,0.02,0.024,0.029,0.033,0.038,0.044,0.049,2mass,B,2022/4/16 18:32:8,4,,,,,,,
13.663,13.598,13.581,13.575,13.57,13.559,13.553,13.562,0.01,0.011,0.013,0.016,0.018,0.021,0.024,0.027,2mass,B,2022/4/16 18:35:32,1,,,,,,,
14.989,14.921,14.911,14.907,14.922,14.906,14.908,14.918,0.028,0.035,0.043,0.054,0.062,0.071,0.082,0.094,2mass,B,2022/4/16 18:35:32,2,,,,,,,
15.255,15.217,15.202,15.213,15.199,15.2,15.167,15.123,0.035,0.044,0.055,0.07,0.078,0.091,0.101,0.111,2mass,B,2022/4/16 18:35:32,3,,,,,,,
14.348,14.279,14.245,14.22,14.214,14.221,14.219,14.19,0.017,0.02,0.024,0.029,0.032,0.038,0.043,0.048,2mass,B,2022/4/16 18:35:32,4,,,,,,,
13.628,13.56,13.532,13.519,13.512,13.51,13.508,13.516,0.009,0.011,0.012,0.015,0.017,0.019,0.022,0.025,2mass,B,2022/4/16 18:38:55,1,,,,,,,
14.921,14.873,14.855,14.847,14.832,14.83,14.84,14.851,0.026,0.032,0.04,0.049,0.055,0.064,0.074,0.085,2mass,B,2022/4/16 18:38:55,2,,,,,,,
15.24,15.158,15.119,15.115,15.124,15.115,15.127,15.061,0.035,0.043,0.051,0.065,0.074,0.085,0.099,0.106,2mass,B,2022/4/16 18:38:55,3,,,,,,,
14.325,14.244,14.227,14.202,14.196,14.196,14.188,14.171,0.016,0.02,0.024,0.029,0.033,0.038,0.043,0.048,2mass,B,2022/4/16 18:38:55,4,,,,,,,
13.634,13.58,13.558,13.539,13.532,13.522,13.514,13.506,0.01,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:42:5,1,,,,,,,
14.984,14.94,14.905,14.875,14.868,14.845,14.848,14.817,0.028,0.036,0.043,0.053,0.059,0.067,0.078,0.086,2mass,B,2022/4/16 18:42:5,2,,,,,,,
15.247,15.24,15.183,15.146,15.182,15.247,15.252,15.326,0.035,0.046,0.054,0.066,0.078,0.096,0.111,0.135,2mass,B,2022/4/16 18:42:5,3,,,,,,,
14.317,14.283,14.239,14.203,14.188,14.188,14.183,14.161,0.016,0.02,0.024,0.029,0.032,0.037,0.042,0.047,2mass,B,2022/4/16 18:42:5,4,,,,,,,
13.645,13.596,13.574,13.551,13.55,13.542,13.541,13.538,0.01,0.011,0.013,0.016,0.018,0.021,0.024,0.027,2mass,B,2022/4/16 18:46:35,1,,,,,,,
14.948,14.873,14.851,14.827,14.814,14.83,14.846,14.874,0.027,0.033,0.04,0.049,0.055,0.065,0.075,0.088,2mass,B,2022/4/16 18:46:35,2,,,,,,,
15.294,15.252,15.256,15.26,15.271,15.343,15.327,15.264,0.038,0.048,0.06,0.076,0.087,0.108,0.122,0.131,2mass,B,2022/4/16 18:46:35,3,,,,,,,
14.312,14.251,14.231,14.219,14.205,14.207,14.196,14.177,0.016,0.019,0.023,0.028,0.031,0.036,0.041,0.046,2mass,B,2022/4/16 18:46:35,4,,,,,,,
13.665,13.597,13.57,13.559,13.553,13.539,13.544,13.536,0.009,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:49:46,1,,,,,,,
14.957,14.873,14.864,14.876,14.891,14.901,14.888,14.941,0.026,0.032,0.039,0.05,0.057,0.067,0.076,0.09,2mass,B,2022/4/16 18:49:46,2,,,,,,,
15.274,15.253,15.236,15.19,15.158,15.165,15.138,15.111,0.035,0.045,0.056,0.068,0.075,0.087,0.098,0.108,2mass,B,2022/4/16 18:49:46,3,,,,,,,
14.329,14.27,14.249,14.233,14.232,14.2,14.181,14.179,0.017,0.02,0.024,0.03,0.034,0.038,0.043,0.049,2mass,B,2022/4/16 18:49:46,4,,,,,,,
13.674,13.605,13.579,13.564,13.555,13.553,13.545,13.54,0.01,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 18:53:21,1,,,,,,,
14.948,14.85,14.798,14.787,14.748,14.72,14.733,14.752,0.027,0.032,0.038,0.048,0.052,0.059,0.068,0.079,2mass,B,2022/4/16 18:53:21,2,,,,,,,
15.282,15.191,15.171,15.121,15.119,15.171,15.185,15.183,0.037,0.045,0.055,0.067,0.075,0.092,0.107,0.121,2mass,B,2022/4/16 18:53:21,3,,,,,,,
14.326,14.248,14.226,14.217,14.202,14.187,14.186,14.184,0.016,0.019,0.023,0.029,0.032,0.036,0.041,0.047,2mass,B,2022/4/16 18:53:21,4,,,,,,,
13.683,13.606,13.575,13.558,13.55,13.54,13.523,13.516,0.01,0.011,0.013,0.016,0.018,0.02,0.023,0.025,2mass,B,2022/4/16 18:56:52,1,,,,,,,
14.952,14.872,14.839,14.838,14.857,14.875,14.862,14.858,0.026,0.032,0.038,0.048,0.055,0.065,0.074,0.084,2mass,B,2022/4/16 18:56:52,2,,,,,,,
15.289,15.24,15.247,15.27,15.255,15.276,15.267,15.259,0.036,0.045,0.056,0.072,0.081,0.096,0.109,0.123,2mass,B,2022/4/16 18:56:52,3,,,,,,,
14.327,14.254,14.226,14.181,14.161,14.16,14.15,14.117,0.017,0.02,0.024,0.029,0.032,0.037,0.042,0.046,2mass,B,2022/4/16 18:56:52,4,,,,,,,
13.708,13.641,13.616,13.598,13.593,13.585,13.577,13.579,0.01,0.012,0.014,0.017,0.019,0.021,0.024,0.027,2mass,B,2022/4/16 19:0:25,1,,,,,,,
14.944,14.875,14.853,14.844,14.854,14.836,14.823,14.845,0.027,0.033,0.04,0.05,0.057,0.065,0.074,0.085,2mass,B,2022/4/16 19:0:25,2,,,,,,,
15.239,15.206,15.176,15.171,15.155,15.104,15.095,15.065,0.034,0.043,0.053,0.066,0.074,0.082,0.094,0.103,2mass,B,2022/4/16 19:0:25,3,,,,,,,
14.336,14.277,14.253,14.251,14.231,14.224,14.226,14.239,0.016,0.019,0.023,0.029,0.032,0.037,0.042,0.048,2mass,B,2022/4/16 19:0:25,4,,,,,,,
13.713,13.652,13.639,13.624,13.629,13.634,13.65,13.651,0.01,0.011,0.014,0.017,0.019,0.022,0.025,0.028,2mass,B,2022/4/16 19:4:34,1,,,,,,,
14.954,14.875,14.826,14.811,14.779,14.742,14.744,14.73,0.026,0.031,0.037,0.046,0.05,0.057,0.065,0.073,2mass,B,2022/4/16 19:4:34,2,,,,,,,
15.263,15.176,15.102,15.053,15.006,15.029,15.06,15.058,0.036,0.043,0.051,0.061,0.066,0.079,0.093,0.105,2mass,B,2022/4/16 19:4:34,3,,,,,,,
14.329,14.262,14.241,14.238,14.23,14.226,14.238,14.244,0.016,0.019,0.023,0.029,0.032,0.037,0.043,0.049,2mass,B,2022/4/16 19:4:34,4,,,,,,,
13.707,13.646,13.624,13.619,13.631,13.642,13.643,13.63,0.01,0.012,0.014,0.017,0.019,0.022,0.026,0.029,2mass,B,2022/4/16 19:7:45,1,,,,,,,
14.929,14.871,14.88,14.89,14.85,14.806,14.791,14.798,0.026,0.032,0.04,0.051,0.056,0.062,0.07,0.081,2mass,B,2022/4/16 19:7:45,2,,,,,,,
15.251,15.153,15.069,15.035,15.025,15.029,14.976,14.961,0.035,0.042,0.049,0.059,0.067,0.078,0.085,0.096,2mass,B,2022/4/16 19:7:45,3,,,,,,,
14.317,14.249,14.227,14.179,14.149,14.106,14.105,14.102,0.016,0.019,0.023,0.027,0.03,0.034,0.038,0.043,2mass,B,2022/4/16 19:7:45,4,,,,,,,
13.765,13.662,13.637,13.61,13.607,13.595,13.596,13.594,0.01,0.011,0.013,0.016,0.018,0.02,0.023,0.026,2mass,B,2022/4/16 19:11:12,1,,,,,,,
15.041,14.937,14.9,14.911,14.932,14.965,14.993,15.001,0.029,0.035,0.042,0.054,0.062,0.074,0.087,0.099,2mass,B,2022/4/16 19:11:12,2,,,,,,,
15.278,15.137,15.095,15.074,15.102,15.097,15.092,15.135,0.034,0.04,0.047,0.059,0.068,0.079,0.09,0.107,2mass,B,2022/4/16 19:11:12,3,,,,,,,
14.366,14.285,14.237,14.229,14.225,14.21,14.22,14.25,0.017,0.02,0.023,0.029,0.033,0.037,0.043,0.05,2mass,B,2022/4/16 19:11:12,4,,,,,,,
13.823,13.732,13.699,13.685,13.681,13.68,13.681,13.686,0.011,0.012,0.014,0.017,0.019,0.022,0.025,0.029,2mass,B,2022/4/16 19:14:33,1,,,,,,,
15.011,14.914,14.875,14.864,14.862,14.884,14.89,14.927,0.027,0.032,0.038,0.048,0.054,0.064,0.073,0.086,2mass,B,2022/4/16 19:14:33,2,,,,,,,
15.317,15.227,15.173,15.183,15.149,15.078,15.057,14.982,0.035,0.042,0.05,0.064,0.07,0.077,0.086,0.092,2mass,B,2022/4/16 19:14:33,3,,,,,,,
14.384,14.3,14.263,14.232,14.218,14.208,14.222,14.219,0.016,0.019,0.023,0.027,0.03,0.035,0.04,0.046,2mass,B,2022/4/16 19:14:33,4,,,,,,,
13.9,13.779,13.73,13.701,13.688,13.681,13.673,13.65,0.012,0.013,0.015,0.018,0.02,0.023,0.026,0.029,2mass,B,2022/4/16 19:17:58,1,,,,,,,
15.073,14.953,14.927,14.9,14.872,14.901,14.902,14.888,0.029,0.034,0.042,0.051,0.057,0.067,0.077,0.087,2mass,B,2022/4/16 19:17:58,2,,,,,,,
15.416,15.293,15.295,15.264,15.269,15.256,15.268,15.262,0.04,0.047,0.058,0.072,0.082,0.094,0.109,0.123,2mass,B,2022/4/16 19:17:58,3,,,,,,,
14.441,14.324,14.288,14.267,14.251,14.25,14.253,14.242,0.017,0.02,0.023,0.029,0.032,0.037,0.042,0.047,2mass,B,2022/4/16 19:17:58,4,,,,,,,
13.863,13.779,13.751,13.743,13.748,13.757,13.768,13.785,0.011,0.013,0.015,0.018,0.021,0.024,0.028,0.032,2mass,B,2022/4/16 19:21:30,1,,,,,,,
14.984,14.904,14.873,14.87,14.852,14.863,14.88,14.88,0.025,0.031,0.037,0.046,0.051,0.06,0.07,0.08,2mass,B,2022/4/16 19:21:30,2,,,,,,,
15.367,15.311,15.265,15.268,15.309,15.305,15.312,15.264,0.037,0.045,0.054,0.069,0.081,0.094,0.108,0.118,2mass,B,2022/4/16 19:21:30,3,,,,,,,
14.377,14.303,14.262,14.26,14.253,14.251,14.266,14.27,0.016,0.019,0.023,0.029,0.032,0.037,0.043,0.049,2mass,B,2022/4/16 19:21:30,4,,,,,,,
13.84,13.782,13.768,13.751,13.751,13.75,13.745,13.754,0.011,0.012,0.015,0.018,0.02,0.023,0.026,0.03,2mass,B,2022/4/16 19:25:53,1,,,,,,,
14.971,14.923,14.907,14.888,14.881,14.894,14.88,14.874,0.028,0.035,0.042,0.053,0.059,0.07,0.079,0.089,2mass,B,2022/4/16 19:25:53,2,,,,,,,
15.312,15.24,15.211,15.198,15.188,15.191,15.154,15.121,0.036,0.044,0.053,0.066,0.074,0.087,0.096,0.106,2mass,B,2022/4/16 19:25:53,3,,,,,,,
14.36,14.284,14.247,14.223,14.208,14.194,14.181,14.176,0.016,0.019,0.022,0.027,0.03,0.035,0.039,0.044,2mass,B,2022/4/16 19:25:53,4,,,,,,,
13.913,13.826,13.788,13.77,13.776,13.77,13.778,13.782,0.011,0.013,0.015,0.018,0.02,0.023,0.026,0.03,2mass,B,2022/4/16 19:29:3,1,,,,,,,
15.012,14.914,14.858,14.895,14.927,14.937,14.969,14.997,0.026,0.031,0.036,0.047,0.055,0.064,0.076,0.088,2mass,B,2022/4/16 19:29:3,2,,,,,,,
15.318,15.222,15.197,15.163,15.142,15.124,15.137,15.129,0.036,0.043,0.052,0.064,0.071,0.082,0.095,0.107,2mass,B,2022/4/16 19:29:3,3,,,,,,,
14.395,14.294,14.252,14.216,14.186,14.163,14.169,14.166,0.017,0.02,0.023,0.028,0.031,0.035,0.041,0.046,2mass,B,2022/4/16 19:29:3,4,,,,,,,
13.902,13.819,13.78,13.773,13.762,13.752,13.752,13.762,0.011,0.012,0.014,0.018,0.02,0.022,0.026,0.029,2mass,B,2022/4/16 19:32:35,1,,,,,,,
14.995,14.889,14.862,14.86,14.848,14.87,14.902,14.928,0.026,0.031,0.037,0.047,0.052,0.062,0.073,0.085,2mass,B,2022/4/16 19:32:35,2,,,,,,,
15.334,15.228,15.17,15.145,15.125,15.108,15.093,15.091,0.037,0.044,0.052,0.064,0.071,0.081,0.092,0.104,2mass,B,2022/4/16 19:32:35,3,,,,,,,
14.384,14.309,14.265,14.252,14.243,14.225,14.22,14.201,0.016,0.02,0.023,0.029,0.032,0.036,0.041,0.046,2mass,B,2022/4/16 19:32:35,4,,,,,,,
13.952,13.852,13.815,13.783,13.767,13.754,13.772,13.766,0.011,0.013,0.015,0.018,0.02,0.023,0.027,0.03,2mass,B,2022/4/16 19:36:3,1,,,,,,,
14.997,14.866,14.846,14.804,14.79,14.792,14.78,14.777,0.026,0.03,0.037,0.045,0.05,0.058,0.066,0.075,2mass,B,2022/4/16 19:36:3,2,,,,,,,
15.315,15.249,15.22,15.233,15.227,15.226,15.216,15.219,0.037,0.045,0.055,0.07,0.079,0.092,0.105,0.119,2mass,B,2022/4/16 19:36:3,3,,,,,,,
14.413,14.31,14.257,14.222,14.207,14.189,14.178,14.176,0.017,0.02,0.023,0.028,0.031,0.036,0.04,0.046,2mass,B,2022/4/16 19:36:3,4,,,,,,,
13.941,13.858,13.826,13.794,13.78,13.764,13.757,13.728,0.012,0.013,0.016,0.019,0.021,0.024,0.027,0.03,2mass,B,2022/4/16 19:39:26,1,,,,,,,
14.988,14.896,14.844,14.814,14.785,14.773,14.749,14.731,0.026,0.031,0.037,0.046,0.05,0.057,0.065,0.072,2mass,B,2022/4/16 19:39:26,2,,,,,,,
15.277,15.191,15.164,15.144,15.141,15.096,15.099,15.161,0.034,0.041,0.05,0.062,0.07,0.079,0.091,0.109,2mass,B,2022/4/16 19:39:26,3,,,,,,,
14.346,14.253,14.211,14.183,14.173,14.164,14.146,14.112,0.016,0.019,0.022,0.027,0.03,0.034,0.039,0.042,2mass,B,2022/4/16 19:39:26,4,,,,,,,
13.983,13.882,13.853,13.826,13.815,13.803,13.777,13.766,0.012,0.014,0.016,0.019,0.021,0.025,0.027,0.031,2mass,B,2022/4/16 19:42:57,1,,,,,,,
15.027,14.903,14.852,14.817,14.803,14.821,14.809,14.774,0.028,0.033,0.039,0.048,0.054,0.063,0.072,0.079,2mass,B,2022/4/16 19:42:57,2,,,,,,,
15.344,15.269,15.231,15.256,15.236,15.253,15.189,15.176,0.036,0.044,0.053,0.069,0.077,0.09,0.098,0.11,2mass,B,2022/4/16 19:42:57,3,,,,,,,
14.427,14.361,14.359,14.374,14.353,14.336,14.303,14.282,0.019,0.023,0.028,0.036,0.04,0.046,0.051,0.057,2mass,B,2022/4/16 19:42:57,4,,,,,,,
13.968,13.885,13.85,13.828,13.826,13.826,13.818,13.824,0.012,0.014,0.016,0.019,0.022,0.025,0.028,0.032,2mass,B,2022/4/16 19:46:17,1,,,,,,,
14.969,14.864,14.789,14.758,14.747,14.719,14.691,14.696,0.027,0.032,0.037,0.046,0.051,0.058,0.065,0.074,2mass,B,2022/4/16 19:46:17,2,,,,,,,
15.321,15.244,15.218,15.209,15.238,15.263,15.273,15.259,0.035,0.043,0.053,0.066,0.077,0.091,0.105,0.118,2mass,B,2022/4/16 19:46:17,3,,,,,,,
14.306,14.224,14.172,14.1,14.074,14.021,13.988,13.953,0.018,0.021,0.025,0.029,0.032,0.035,0.039,0.043,2mass,B,2022/4/16 19:46:17,4,,,,,,,
13.969,13.918,13.902,13.905,13.908,13.889,13.881,13.872,0.012,0.014,0.017,0.021,0.023,0.027,0.03,0.034,2mass,B,2022/4/16 19:49:37,1,,,,,,,
14.983,14.928,14.931,14.911,14.883,14.908,14.91,14.941,0.027,0.033,0.041,0.05,0.055,0.066,0.076,0.089,2mass,B,2022/4/16 19:49:37,2,,,,,,,
15.315,15.25,15.234,15.225,15.181,15.15,15.154,15.203,0.035,0.043,0.053,0.066,0.072,0.081,0.093,0.111,2mass,B,2022/4/16 19:49:37,3,,,,,,,
14.292,14.237,14.212,14.195,14.195,14.178,14.186,14.161,0.015,0.018,0.022,0.027,0.031,0.035,0.04,0.044,2mass,B,2022/4/16 19:49:37,4,,,,,,,
14.033,13.916,13.887,13.869,13.86,13.839,13.82,13.803,0.012,0.014,0.016,0.02,0.022,0.025,0.028,0.031,2mass,B,2022/4/16 19:52:58,1,,,,,,,
15.063,14.95,14.896,14.888,14.894,14.88,14.896,14.933,0.027,0.032,0.038,0.047,0.054,0.062,0.072,0.084,2mass,B,2022/4/16 19:52:58,2,,,,,,,
15.342,15.211,15.162,15.12,15.092,15.078,15.114,15.065,0.035,0.041,0.049,0.059,0.065,0.075,0.089,0.096,2mass,B,2022/4/16 19:52:58,3,,,,,,,
14.373,14.264,14.226,14.194,14.173,14.162,14.145,14.135,0.016,0.018,0.022,0.026,0.029,0.033,0.038,0.042,2mass,B,2022/4/16 19:52:58,4,,,,,,,
13.962,13.839,13.785,13.733,13.72,13.699,13.667,13.649,0.013,0.015,0.018,0.021,0.024,0.027,0.03,0.033,2mass,B,2022/4/16 19:57:10,1,,,,,,,
14.987,14.896,14.865,14.842,14.832,14.803,14.794,14.767,0.026,0.031,0.038,0.046,0.052,0.059,0.067,0.074,2mass,B,2022/4/16 19:57:10,2,,,,,,,
15.305,15.206,15.162,15.146,15.154,15.163,15.132,15.155,0.034,0.041,0.049,0.061,0.07,0.082,0.091,0.106,2mass,B,2022/4/16 19:57:10,3,,,,,,,
14.358,14.265,14.226,14.192,14.181,14.179,14.179,14.161,0.016,0.019,0.023,0.028,0.031,0.036,0.041,0.046,2mass,B,2022/4/16 19:57:10,4,,,,,,,
14.068,13.954,13.925,13.895,13.892,13.895,13.881,13.889,0.013,0.015,0.017,0.021,0.024,0.027,0.031,0.035,2mass,B,2022/4/16 20:0:46,1,,,,,,,
15.013,14.88,14.813,14.777,14.752,14.758,14.741,14.692,0.028,0.032,0.037,0.045,0.05,0.059,0.066,0.072,2mass,B,2022/4/16 20:0:46,2,,,,,,,
15.382,15.24,15.221,15.194,15.204,15.24,15.264,15.27,0.039,0.045,0.055,0.068,0.077,0.093,0.109,0.125,2mass,B,2022/4/16 20:0:46,3,,,,,,,
14.398,14.269,14.215,14.173,14.155,14.15,14.12,14.097,0.017,0.019,0.022,0.027,0.029,0.034,0.038,0.042,2mass,B,2022/4/16 20:0:46,4,,,,,,,
14.032,13.937,13.907,13.884,13.867,13.842,13.824,13.808,0.013,0.015,0.017,0.021,0.023,0.026,0.029,0.033,2mass,B,2022/4/16 20:4:16,1,,,,,,,
14.982,14.845,14.824,14.844,14.825,14.834,14.827,14.821,0.025,0.029,0.035,0.045,0.05,0.058,0.066,0.075,2mass,B,2022/4/16 20:4:16,2,,,,,,,
15.175,15.056,14.964,14.909,14.872,14.831,14.814,14.778,0.037,0.043,0.05,0.06,0.066,0.074,0.083,0.092,2mass,B,2022/4/16 20:4:16,3,,,,,,,
14.386,14.263,14.218,14.207,14.207,14.178,14.156,14.131,0.016,0.019,0.022,0.027,0.03,0.034,0.038,0.042,2mass,B,2022/4/16 20:4:16,4,,,,,,,
14.09,13.976,13.926,13.89,13.886,13.874,13.873,13.873,0.013,0.015,0.017,0.02,0.023,0.026,0.03,0.034,2mass,B,2022/4/16 20:8:33,1,,,,,,,
15.051,14.943,14.932,14.898,14.915,14.92,14.949,14.995,0.033,0.039,0.048,0.059,0.067,0.079,0.093,0.11,2mass,B,2022/4/16 20:8:33,2,,,,,,,
15.379,15.237,15.158,15.154,15.147,15.2,15.216,15.199,0.037,0.043,0.05,0.063,0.07,0.086,0.1,0.112,2mass,B,2022/4/16 20:8:33,3,,,,,,,
14.449,14.323,14.26,14.215,14.193,14.197,14.191,14.185,0.017,0.019,0.022,0.027,0.03,0.034,0.039,0.044,2mass,B,2022/4/16 20:8:33,4,,,,,,,
14.053,13.941,13.901,13.879,13.865,13.847,13.85,13.837,0.013,0.015,0.017,0.021,0.023,0.026,0.03,0.034,2mass,B,2022/4/16 20:12:3,1,,,,,,,
